portfolio,fund_name,scheme_code,folio,platform,txn_type,txn_date,units,nav,notes
,Franklin Build India Fund - Direct - Growth,,,,SELL,21-05-21,31.541,58.9711,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,SELL,21-05-21,30.332,59.79,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,SELL,21-05-21,30.626,65.6821,
,NIPPON INDIA NIFTY NEXT 50 JUNIOR BEES FOF - DIRECT Plan - IDCW Option,,,,SELL,21-05-21,117.003,13.5794,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,SELL,21-05-21,41.776,101.2594,
,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,,,,BUY,24-05-21,16.534,2116.804,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,01-06-21,2.213,45.18,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,01-06-21,1.558,64.19,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,01-06-21,1.852,54,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,01-06-21,1.64,60.98,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,SELL,02-06-21,231.7601,120.6066,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,03-06-21,2.189,45.68,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,03-06-21,1.53,65.34,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,03-06-21,1.835,54.51,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,03-06-21,1.626,61.49,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,04-06-21,2.192,45.63,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,04-06-21,1.529,65.4,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,04-06-21,1.827,54.74,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,04-06-21,1.626,61.51,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,08-06-21,25.679,38.94,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,08-06-21,2.193,45.6,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,08-06-21,1.515,65.99,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,08-06-21,1.805,55.41,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,08-06-21,1.613,61.98,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,08-06-21,14.519,68.8706,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,08-06-21,69.419,14.4046,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,08-06-21,39.262,25.4687,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,08-06-21,8.318,120.2186,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,10-06-21,25.444,39.3,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,10-06-21,2.179,45.89,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,10-06-21,1.504,66.47,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,10-06-21,1.801,55.51,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,10-06-21,1.614,61.94,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,10-06-21,14.427,69.3122,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,10-06-21,69.293,14.4308,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,10-06-21,39.09,25.5804,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,10-06-21,84.344,59.2783,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,10-06-21,8.29,120.6238,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,14-06-21,25.412,39.35,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,14-06-21,2.164,46.22,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,14-06-21,1.5,66.65,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,14-06-21,1.804,55.43,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,14-06-21,1.61,62.11,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,14-06-21,69.477,14.3925,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,14-06-21,39.313,25.4355,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,14-06-21,8.317,120.2244,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,17-06-21,25.812,38.74,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,17-06-21,2.171,46.07,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,17-06-21,1.498,66.76,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,17-06-21,1.817,55.04,
,Franklin Build India Fund - Direct - Growth,,,,BUY,17-06-21,15.979,62.5792,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,17-06-21,1.622,61.64,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,17-06-21,14.737,67.8523,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,17-06-21,70.665,14.1506,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,17-06-21,39.788,25.1318,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,17-06-21,17.009,58.7895,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,17-06-21,30.726,32.5438,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,17-06-21,54.623,18.3064,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,17-06-21,8.403,119.004,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,18-06-21,25.959,38.52,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,18-06-21,33.643,46.07,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,18-06-21,23.321,66.46,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,18-06-21,28.283,54.8,
,Franklin Build India Fund - Direct - Growth,,,,BUY,18-06-21,16.064,62.2465,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,18-06-21,25.194,61.52,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,18-06-21,14.865,67.2709,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,18-06-21,70.951,14.0935,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,18-06-21,39.947,25.0318,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,18-06-21,17.068,58.5877,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,18-06-21,30.831,32.4329,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,18-06-21,54.896,18.2154,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,18-06-21,8.422,118.7352,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,21-06-21,2.165,46.2,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,21-06-21,1.5,66.65,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,21-06-21,1.82,54.96,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,21-06-21,1.62,61.72,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,22-06-21,2.16,46.3,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,22-06-21,1.5,66.65,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,22-06-21,1.809,55.29,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,22-06-21,1.614,61.96,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,23-06-21,2.173,46.02,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,23-06-21,1.505,66.45,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,23-06-21,1.81,55.24,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,23-06-21,1.623,61.62,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,24-06-21,2.154,46.42,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,24-06-21,1.498,66.74,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,24-06-21,1.807,55.34,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,24-06-21,1.613,61.98,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,24-06-21,16.898,59.1754,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,25-06-21,2.148,46.56,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,25-06-21,1.492,67.04,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,25-06-21,1.8,55.55,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,25-06-21,1.599,62.52,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,28-06-21,2.153,46.44,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,28-06-21,1.482,67.46,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,28-06-21,1.781,56.14,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,28-06-21,1.6,62.5,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,29-06-21,2.16,46.29,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,29-06-21,1.489,67.16,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,29-06-21,1.778,56.23,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,29-06-21,1.61,62.12,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,30-06-21,2.159,46.32,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,30-06-21,1.481,67.53,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,30-06-21,1.749,57.19,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,30-06-21,1.611,62.06,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,01-07-21,2.165,46.19,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,01-07-21,1.479,67.6,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,01-07-21,1.747,57.25,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,01-07-21,1.615,61.92,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,01-07-21,16.909,59.1359,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,02-07-21,2.158,46.34,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,02-07-21,1.469,68.09,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,02-07-21,1.726,57.94,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,02-07-21,1.612,62.05,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,05-07-21,2.142,46.68,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,05-07-21,1.465,68.26,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,05-07-21,1.71,58.47,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,05-07-21,1.601,62.48,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,06-07-21,2.14,46.73,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,06-07-21,1.459,68.55,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,06-07-21,1.707,58.58,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,06-07-21,1.602,62.44,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,07-07-21,2.133,46.89,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,07-07-21,1.456,68.67,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,07-07-21,1.699,58.85,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,07-07-21,1.596,62.64,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,08-07-21,2.151,46.5,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,08-07-21,1.459,68.56,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,08-07-21,1.701,58.8,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,08-07-21,1.61,62.12,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,08-07-21,16.799,59.5242,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,09-07-21,2.154,46.43,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,09-07-21,1.458,68.6,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,09-07-21,1.7,58.83,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,09-07-21,1.611,62.06,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,12-07-21,2.154,46.42,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,12-07-21,1.455,68.72,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,12-07-21,1.688,59.23,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,12-07-21,1.611,62.07,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,13-07-21,2.142,46.69,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,13-07-21,1.451,68.92,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,13-07-21,1.677,59.64,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,13-07-21,1.597,62.63,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,14-07-21,2.138,46.78,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,14-07-21,1.439,69.49,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,14-07-21,1.664,60.11,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,14-07-21,1.59,62.89,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,15-07-21,2.133,46.88,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,15-07-21,1.435,69.71,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,15-07-21,1.655,60.43,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,15-07-21,1.582,63.22,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,15-07-21,16.491,60.6374,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,16-07-21,2.131,46.92,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,16-07-21,1.435,69.7,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,16-07-21,1.654,60.45,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,16-07-21,1.581,63.27,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,19-07-21,2.152,46.47,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,19-07-21,1.44,69.43,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,19-07-21,1.664,60.09,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,19-07-21,1.597,62.62,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,20-07-21,2.158,46.33,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,20-07-21,1.449,69.02,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,20-07-21,1.669,59.9,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,20-07-21,1.615,61.93,
,SBI Conservative Hybrid Fund - Direct Plan - Growth,,,,SELL,20-07-21,707.209,53.86,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,22-07-21,4.266,46.88,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,22-07-21,2.866,69.76,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,22-07-21,3.31,60.43,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,22-07-21,3.182,62.84,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,22-07-21,16.595,60.2579,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,23-07-21,2.127,47.01,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,23-07-21,1.431,69.87,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,23-07-21,1.655,60.41,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,23-07-21,1.585,63.08,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,26-07-21,2.125,47.05,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,26-07-21,1.426,70.11,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,26-07-21,1.647,60.72,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,26-07-21,1.586,63.06,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,27-07-21,2.131,46.92,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,27-07-21,1.433,69.77,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,27-07-21,1.639,61,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,27-07-21,1.591,62.87,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,28-07-21,25.347,39.45,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,28-07-21,2.132,46.9,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,28-07-21,1.435,69.71,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,28-07-21,1.649,60.63,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,28-07-21,1.589,62.92,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,28-07-21,8.317,120.2342,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,29-07-21,2.122,47.13,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,29-07-21,1.42,70.43,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,29-07-21,1.635,61.16,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,29-07-21,1.583,63.17,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,29-07-21,16.54,60.457,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,30-07-21,2.132,46.91,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,30-07-21,1.413,70.75,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,30-07-21,1.637,61.09,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,30-07-21,1.58,63.31,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,02-08-21,2.119,47.2,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,02-08-21,1.39,71.94,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,02-08-21,1.629,61.37,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,02-08-21,1.57,63.71,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,03-08-21,2.088,47.9,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,03-08-21,1.388,72.07,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,03-08-21,1.627,61.47,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,03-08-21,1.549,64.55,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,04-08-21,2.073,48.24,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,04-08-21,1.398,71.54,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,04-08-21,1.638,61.05,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,04-08-21,1.54,64.92,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,05-08-21,2.075,48.19,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,05-08-21,1.395,71.67,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,05-08-21,1.642,60.91,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,05-08-21,1.536,65.1,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,05-08-21,16.052,62.2932,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,05-08-21,16.095,124.2576,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,05-08-21,45.731,109.3287,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,SELL,05-08-21,13.206,124.2576,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,SELL,05-08-21,14.154,109.3287,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,06-08-21,2.085,47.97,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,06-08-21,1.399,71.5,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,06-08-21,1.636,61.13,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,06-08-21,1.54,64.95,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,09-08-21,2.083,48,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,09-08-21,1.403,71.27,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,09-08-21,1.638,61.05,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,09-08-21,1.54,64.94,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,10-08-21,2.079,48.09,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,10-08-21,1.407,71.07,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,10-08-21,1.669,59.93,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,10-08-21,1.537,65.06,
,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,,,,BUY,11-08-21,24.961,40.06,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,11-08-21,22.915,48,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,11-08-21,15.618,70.43,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,11-08-21,18.391,59.81,
,Franklin Build India Fund - Direct - Growth,,,,BUY,11-08-21,15.378,65.0245,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,11-08-21,16.899,65.09,
,Nippon India Banking & Financial Services Fund- DIRECT Plan - IDCW Option,,,,BUY,11-08-21,14.113,70.8513,
,Nippon India Nifty Next 50 Junior BeES FoF - Direct Plan - Growth Plan - Growth Option,,,,BUY,11-08-21,69.378,14.4131,
,Sbi Banking & Financial Services Fund - Direct Plan - Growth,,,,BUY,11-08-21,38.817,25.7606,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,11-08-21,16.165,61.8601,
,Tata Digital India Fund-Direct Plan-Growth,,,,BUY,11-08-21,27.478,36.3913,
,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,,,,BUY,11-08-21,51.33,19.481,
,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,,,,BUY,11-08-21,8.098,123.4827,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,11-08-21,9.153,109.2511,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,12-08-21,2.076,48.18,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,12-08-21,1.408,71.02,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,12-08-21,1.65,60.6,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,12-08-21,1.528,65.46,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,12-08-21,16.094,62.132,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,13-08-21,2.058,48.58,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,13-08-21,1.404,71.2,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,13-08-21,1.655,60.41,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,13-08-21,1.514,66.04,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,16-08-21,2.054,48.68,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,16-08-21,1.406,71.14,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,16-08-21,1.666,60.04,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,16-08-21,1.515,66.02,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,17-08-21,2.042,48.96,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,17-08-21,1.39,71.94,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,17-08-21,1.647,60.7,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,17-08-21,1.517,65.94,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,18-08-21,2.043,48.95,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,18-08-21,1.386,72.17,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,18-08-21,1.649,60.66,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,18-08-21,1.522,65.69,
,UTI Nifty 50 Index Fund - Growth Option- Direct,,,,BUY,18-08-21,4.497,111.1882,
,Axis Large Cap Fund - Direct Plan - Growth,,,,BUY,20-08-21,4.102,48.76,
,Axis Midcap Fund - Direct Plan - Growth,,,,BUY,20-08-21,2.79,71.68,
,Axis Small Cap Fund - Direct Plan - Growth,,,,BUY,20-08-21,3.352,59.67,
,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,,,,BUY,20-08-21,3.084,64.85,
,Sbi Large Cap Fund-Direct Plan -Growth,,,,BUY,20-08-21,16.27,61.4601,
